name,address,city,zip,capacity,license_type,status,state,license_number
Faithful Beginnings at St Timothy School,215 Division St E,Maple Lake,55358,0,Child Care Center,Active,MN,1081858
3Rs Early Childhood Learning Center,4900 85TH AVE N,Minneapolis,55443-2600,0,Child Care Center,Active,MN,1108608
A Better Childcare,7046 Brooklyn Blvd,Brooklyn Center,55429,0,Child Care Center,Active,MN,1081425
"A Child's Delight Too, Inc.",200 Western Ave Suite 2A,Faribault,55021,0,Child Care Center,Active,MN,800003
A Child's Place Daycare Center,3738 7TH AVE,Anoka,55303-1465,0,Child Care Center,Active,MN,1096017
"A New Hope Family Child Care LLC, DBA A New Hope Preschool & ECE Progr",3596 LINDEN AVE STE B2,White Bear Lake,55110-4694,0,Child Care Center,Active,MN,1112619
A Plus Universal Child Care and Learning Center,1208 Shakopee Town Square,Shakopee,55379,0,Child Care Center,Active,MN,1097992
Aaron Child Care Inc.,2500 MINNEHAHA AVE STE 100,Minneapolis,55404-4118,0,Child Care Center,Active,MN,1105095
AB Bohlman Inc dba Little Red Wagon,901 S Main St,Cambridge,55008,0,Child Care Center,Active,MN,1052797
AB.SEE Preschool & Early Learning Center,300 PARK ST W,Cannon Falls,55009-2429,0,Child Care Center,Active,MN,1101850
ABC Academy,160 3RD AVE W,Foley,56329-4534,0,Child Care Center,Active,MN,1112247
ABC Express,6820 St. Patrick Lane,Edina,55439,0,Child Care Center,Active,MN,800020
ABC Learning Center Inc,2533 24th AVE S,Minneapolis,55406,0,Child Care Center,Active,MN,1095850
ABC123 Child Enrichment Center LLC,1710 CENTER AVE W STE 130,Dilworth,56529-1309,0,Child Care Center,Active,MN,1077914
ABC123 Child Enrichment Center LLC,1710 CENTER AVE W STE 122,Dilworth,56529-1309,0,Child Care Center,Active,MN,1108417
Abiding Branches Cooperative Preschool,171 Elm St,Lino Lakes,55014,0,Child Care Center,Active,MN,800381
Abiding Branches Cooperative Preschool,865 Birch St,Lino Lakes,55014,0,Child Care Center,Active,MN,1051591
Abiding Savior Lutheran Preschool,8211 Red Oak Dr NE,Mounds View,55112,0,Child Care Center,Active,MN,800025
Acacia Montessori,14119 GALAXIE AVE,Apple Valley,55124-8565,0,Child Care Center,Active,MN,1116169
Academia Elze,4 West Franklin Ave,Minneapolis,55404,0,Child Care Center,Active,MN,1092665
Acorn Academy of Oak Haven Church,1555 Constance Blvd NE,Ham Lake,55304,0,Child Care Center,Active,MN,1050327
"Active Child Care Center, Inc",2000 PLYMOUTH AVE N,Minneapolis,55411-3713,0,Child Care Center,Active,MN,1093196
Afton View Child Care Center,363 Winthrop St. S.,Saint Paul,55119,0,Child Care Center,Active,MN,1098257
Agape Head Start,1037 UNIVERSITY AVE W,Saint Paul,55104-4788,0,Child Care Center,Active,MN,1110742
Agape I Child Development Center,2304 Emerson Ave N,Minneapolis,55411,0,Child Care Center,Active,MN,830242
Al Amal Preschool,1401 Gardenia Ave NE Rooms 103 & 105,Fridley,55432,0,Child Care Center,Active,MN,1017825
ALC Child Care Center,37 Woodlake Dr SE,Rochester,55904,0,Child Care Center,Active,MN,830800
Aldrich Memorial Nursery School,855 Essex Pkwy NW,Rochester,55901,0,Child Care Center,Active,MN,800058
Alexandria Area YMCA Center east,110 Karl Dr,Alexandria,56308,0,Child Care Center,Active,MN,802771
Alexandria Area YMCA Center South,420 12th Ave E,Alexandria,56308,0,Child Care Center,Active,MN,1092113
All 'bout Children Daycare,300 1st Ave NW,Plainview,55964,0,Child Care Center,Active,MN,807340
All Ages & Faces Academy,580 FULLER AVE,Saint Paul,55103-2245,0,Child Care Center,Active,MN,1082560
All God's Children Christian Learning Center,16120 Cedar Ave S,Rosemount,55068,0,Child Care Center,Active,MN,1059664
All God's Children Learning Center,4735 Bassett Creek Dr,Golden Valley,55422,0,Child Care Center,Active,MN,830260
All Pro Childcare LLC,503 HAWTHORNE ST STE 103,Alexandria,56308-1992,0,Child Care Center,Active,MN,1065334
All Saints Academy Child Care,605 4TH ST P.O BOX 158,Madison Lake,56063-2003,0,Child Care Center,Active,MN,1046978
All Saints Academy St Cloud Campus,1215 11th Ave N,Saint Cloud,56303,0,Child Care Center,Active,MN,1079708
All Saints Academy St Joseph Campus,32 W Minnesota St,Saint Joseph,56374,0,Child Care Center,Active,MN,1086686
All Saints Catholic Preschool,19795 Holyoke Ave,Lakeville,55044,0,Child Care Center,Active,MN,1018410
All Saints Child Care Center,15915 Excelsior Blvd,Minnetonka,55345,0,Child Care Center,Active,MN,800064
All Saints Preschool,15915 Excelsior Blvd,Minnetonka,55345,0,Child Care Center,Active,MN,800065
All Season's Preschool,7260 South Robert Trail,Inver Grove Heights,55077,0,Child Care Center,Active,MN,1054093
All Seasons Preschool of Eagan LLC,3385 DISCOVERY RD,Eagan,55121-2167,0,Child Care Center,Active,MN,1103909
All Smiles Daycare Center,4102 W COUNTY ROAD 42,Savage,55378-2023,0,Child Care Center,Active,MN,1101499
"All Stars Montessori, LLC",5920 148th St W,Apple Valley,55124,0,Child Care Center,Active,MN,1046877
Allstar,980 10TH ST NE,Milaca,56353-1809,0,Child Care Center,Active,MN,1049848
Alma Flor Ada Woodbury Spanish Immersion Early Learning Academy,8420 CITY CENTRE DR,Woodbury,55125-5308,0,Child Care Center,Active,MN,1104621
Alphabet Child Care Inc.,1010 PARK AVE,Minneapolis,55404-1437,0,Child Care Center,Active,MN,1115314
Alphabet Junction Child Care Center,1661 PARK RIDGE DR,Chaska,55318-2841,0,Child Care Center,Active,MN,831093
Alphabet Junction Childcare Center 4 Inc,1335 10TH AVE E,Shakopee,55379-2992,0,Child Care Center,Active,MN,1063267
Alphabet Junction Childcare Center 5 Inc,169 El Dorado Dr,Jordan,55352,0,Child Care Center,Active,MN,1065286
Alphabet Junction Learning Center 3 Inc,7840 Victoria Dr,Victoria,55386,0,Child Care Center,Active,MN,1056538
"Alphabet Junction Learning Center Too, Inc.",240 E Frontage Rd,Waconia,55387,0,Child Care Center,Active,MN,1017489
Amazing Beginnings Montessori & Child Care,3105 65th St E,Inver Grove Heights,55076-4499,0,Child Care Center,Active,MN,1054231
American Montessori,14401 Pilot knob Rd,Apple Valley,55124,0,Child Care Center,Active,MN,1044123
"American Montessori, Inc. (The)",13973 W Preserve Blvd,Burnsville,55337,0,Child Care Center,Active,MN,830418
Anders Early Learning Center,309 10TH ST S,Cleveland,56017-0000,0,Child Care Center,Active,MN,1098076
Anew Dimension Child Enrichment Center,1819 MINNEHAHA AVE,Minneapolis,55404-2286,0,Child Care Center,Active,MN,800081
Angels Fun Area LLC,2800 1st Ave S,Minneapolis,55408,0,Child Care Center,Active,MN,1082864
Angels Learning Center,7624 Brooklyn Blvd,Brooklyn Park,55443,0,Child Care Center,Active,MN,1066707
Angie's Learning Center,617 E MAIN ST,Belle Plaine,56011-2213,0,Child Care Center,Active,MN,1079345
Anna's Bananas Daycare & Preschool,12004 County Rd 11,Burnsville,55337-0000,0,Child Care Center,Active,MN,1075534
Anna's Bananas Daycare & Preschool,10487 165th St W,Lakeville,55044,0,Child Care Center,Active,MN,1080548
Anna's Bananas Daycare & Preschool Inc,6700 160th St W,Lakeville,55068,0,Child Care Center,Active,MN,1077930
Anna's Bananas Daycare & Preschool Inc,7765 147th St,Apple Valley,55124,0,Child Care Center,Active,MN,1053790
Anna's Bananas Daycare & Preschool Inc,12018 Co Rd 11,Burnsville,55337,0,Child Care Center,Active,MN,1041366
French Academie (The),12301 WHITEWATER DR STE 190,Minnetonka,55343-9452,0,Child Care Center,Active,MN,1004396
Anna's Bananas Daycare and Preschool Inc,21220 Chippendale Ave,Farmington,55024,0,Child Care Center,Active,MN,1003090
Annies Childcare & Learning Center,9630 Ostrowski Way,Brainerd,56401,0,Child Care Center,Active,MN,1046878
Anna's Bananas Daycare and Preschool,516 5TH ST W,Northfield,55057-1720,0,Child Care Center,Active,MN,1064366
2nd Home Childcare LLC,2600 26th Ave S #300,Minneapolis,55406,0,Child Care Center,Active,MN,1080082
Apple Academy Learning Center LLC,1845 Main Street,Centerville,55038,0,Child Care Center,Active,MN,1053178
Annies Childcare & Learning Center,501 W College Dr,Brainerd,56401,0,Child Care Center,Active,MN,1066782
Apple Child Care Center Inc,3110 EMERSON AVE N,Minneapolis,55411-1366,0,Child Care Center,Active,MN,1087704
Apple Academy Learning Center LLC Wyoming,26427 Forest Blvd,Wyoming,55092,0,Child Care Center,Active,MN,1074885
1st Lutheran Preschool and Extended Day Program,925 E 13th St,Glencoe,55336,0,Child Care Center,Active,MN,1086983
Apple Lane Community Child Care Center,1900 8th Ave NW,Austin,55912,0,Child Care Center,Active,MN,830687
Appletime Inc,21051 John Milless Dr,Rogers,55374,0,Child Care Center,Active,MN,1077407
Apple Tree Learning Center,409 1st St N,Virginia,55792,0,Child Care Center,Active,MN,800103
Apple Valley Head Start,311 150th St W,Apple Valley,55124,0,Child Care Center,Active,MN,1036683
Appleton Head Start,349 S EDQUIST ST,Appleton,56208-1552,0,Child Care Center,Active,MN,1110613
"Appleseed Montessori School & Child Care Center, Inc.",6601 Bloomington Ave S,Richfield,55423,0,Child Care Center,Active,MN,1005117
ARTA Child Care Inc,3401 CHICAGO AVE,Minneapolis,55407-2393,0,Child Care Center,Active,MN,1107052
Ark of Angels Montessori Preschool,213 Willard St East,Stillwater,55082,0,Child Care Center,Active,MN,1033610
Ascension Catholic School,1726 DUPONT AVE N,Minneapolis,55411-3219,0,Child Care Center,Active,MN,1116684
Associated Preschool,800 Havana Rd,Owatonna,55060,0,Child Care Center,Active,MN,800130
Aubrey Della Early Childhood Family Development Center,6415 Brooklyn Blvd,Brooklyn Center,55429,0,Child Care Center,Active,MN,1081337
Ascension Lutheran Preschool,15870 46th Ave N,Plymouth,55446,0,Child Care Center,Active,MN,1009422
Auntys Child Care Center,4801 COOKE ST,Duluth,55804-2461,0,Child Care Center,Active,MN,1100425
Atrebla Early Learning Center,2101 E 35th St,Minneapolis,55407-2444,0,Child Care Center,Active,MN,1008457
Augsburg Park Montessori School Ltd,7121 Bloomington Ave S,Richfield,55423,0,Child Care Center,Active,MN,1055397
"Aurora Academy, Inc.",1048 AURORA AVE,Saint Paul,55104-4714,0,Child Care Center,Active,MN,1105821
Ayah Child Care Center Inc,500 40th Ave NE,Columbia Heights,55421,0,Child Care Center,Active,MN,1086727
Ayah Child Care Center Inc,508 40th Ave NE,Columbia Heights,55421,0,Child Care Center,Active,MN,1085776
Ayeeyo Childcare Center Inc,1837 E Lake St,Minneapolis,55407,0,Child Care Center,Active,MN,1084538
Babbitt Head Start 2142 Combination,"30 S Drive Room E 112, 113",Babbitt,55706,0,Child Care Center,Active,MN,1009585
Backus Central Cass Head Start & Early Head Start,320 1st Ave E,Backus,56435,0,Child Care Center,Active,MN,1005570
Babys Space,2438 18th Ave S,Minneapolis,55404,0,Child Care Center,Active,MN,1044125
Bagley Head Start,15 CLEARWATER AVE NW,Bagley,56621-0000,0,Child Care Center,Active,MN,810959
Bassett Creek Montessori and Daycare Center,6250 WAYZATA BLVD,Golden Valley,55416-1210,0,Child Care Center,Active,MN,1006478
Battle Creek Head Start,2181 Suburban Ave,Saint Paul,55119,0,Child Care Center,Active,MN,810840
Athlos Head Start,3701 33RD ST S RM 200,Saint Cloud,56301-2600,0,Child Care Center,Active,MN,830844
Barnesville Child Day Care Center,405 2ND ST SE,Barnesville,56514-3608,0,Child Care Center,Active,MN,800157
Beautiful Savior Child Development Center,5005 NORTHWEST BLVD,Plymouth,55442-3504,0,Child Care Center,Active,MN,1000966
BEGIN Program at St Marys,311 Colorado Ave,Morris,56267,0,Child Care Center,Active,MN,1080698
Bemidji Head Start,1601 CONIFER AVE NW,Bemidji,56601,0,Child Care Center,Active,MN,800179
Benson Head Start,1800 NEVADA AVE,Benson,56215-1023,0,Child Care Center,Active,MN,1110615
Becks Montessori Accelerated Learning Center,4194 Pilot Knob Road,Eagan,55123,0,Child Care Center,Active,MN,1014830
Belle Plaine LLC Memories & Milestones Academy,900 E South St,Belle Plaine,56011,0,Child Care Center,Active,MN,1062585
Berea Lutheran Preschool,9308 Rich Valley Blvd,Inver Grove Heights,55077,0,Child Care Center,Active,MN,1065673
Berry Patch West (The),6200 COLONIAL WAY,Edina,55436-1910,0,Child Care Center,Active,MN,1098740
Berry Patch East (The),5300 FRANCE AVE S,Edina,55410-2020,0,Child Care Center,Active,MN,1098741
Bet Shalom Yeladim Preschool,13613 Orchard Rd,Minnetonka,55305,0,Child Care Center,Active,MN,1028873
Berean Education Center DBA Berean Preschool,309 COUNTY ROAD 42 E,Burnsville,55306-4522,0,Child Care Center,Active,MN,800184
Bernie's Montessori School Inc,1100 E 66TH ST,Richfield,55423-2638,0,Child Care Center,Active,MN,830852
Bertha Head Start/Bertha Family Center,310 Central Ave South Po B 8,Bertha,56437,0,Child Care Center,Active,MN,800186
Bethel Child Care Center,5232 Irvine Ave NW,Bemidji,56601,0,Child Care Center,Active,MN,1066499
Bethlehem Child Care Center,3141 43rd Ave S,Minneapolis,55406-2248,0,Child Care Center,Active,MN,800194
Bethesda All Stars c/o Bethesda Lutheran Church,401 40th Ave S,Moorhead,56560,0,Child Care Center,Active,MN,1036264
Big Adventures Child Care Center,15079 22ND AVE NE,Little Falls,56345-4199,0,Child Care Center,Active,MN,1114420
Big Adventures Academy,8019 146TH AVE NW STE 105,Ramsey,55303-0000,0,Child Care Center,Active,MN,1109771
Bethlehem Lutheran Early Childhood Center,4310 Cty Rd 137,Saint Cloud,56301,0,Child Care Center,Active,MN,809985
Big Woods Child Care Center,305 13th St S,Delano,55328,0,Child Care Center,Active,MN,1083745
"Bilingual Babies, LLC DBA Casa de Corazon",770 Howell St S,Saint Paul,55116-0000,0,Child Care Center,Active,MN,1104825
"Bilingual Child Care & Education Center, INC",720 WILDWOOD RD,Mahtomedi,55115-1852,0,Child Care Center,Active,MN,1095965
Blackduck Head Start,372 Summit Ave Nw,Blackduck,56630,0,Child Care Center,Active,MN,830742
Blackjack Babies,848 CHESTNUT ST,Dawson,56232-2224,0,Child Care Center,Active,MN,1098139
Blake Child Care Center Inc,8353 EXCELSIOR BLVD,Hopkins,55343-3414,0,Child Care Center,Active,MN,1114737
Bloom Early Learning,3755 DUNKIRK LN N,Plymouth,55446-3003,0,Child Care Center,Active,MN,1097990
Blessed Trinity Preschool,7540 Penn Ave S,Richfield,55423,0,Child Care Center,Active,MN,802398
Bilingual Child Care & Education Center Inc,1125 Co Rd B W,Roseville,55113,0,Child Care Center,Active,MN,1057299
Blooming Kids Child Care Center Inc,1209 W St Germain St,Saint Cloud,56301,0,Child Care Center,Active,MN,1087036
Blossomtime Montessori and Day Care,7132 Portland Ave S,Richfield,55423,0,Child Care Center,Active,MN,831153
Blue Earth Head Start,301 North Main St.,Blue Earth,56013,0,Child Care Center,Active,MN,830758
Bloom Early Learning,17805 County Rd #6,Plymouth,55447,0,Child Care Center,Active,MN,1005558
Blue Sky Day Care LLC,4915 Hwy 52 N,Rochester,55901,0,Child Care Center,Active,MN,1088078
Brainerd Head Start,2410 Oak St,Brainerd,56401,0,Child Care Center,Active,MN,804602
Brandie's Little Bear Learning Center,1250 Industrial Park Drive,Eveleth,55734,0,Child Care Center,Active,MN,1093023
Breck School Preschool and Extended Care,123 OTTAWA AVE N,Minneapolis,55422-5124,0,Child Care Center,Active,MN,800229
"Bridges, Inc. (The)",14950 Dodd Blvd,Rosemount,55068,0,Child Care Center,Active,MN,800233
Bright Beginnings Childcare & Learning Center,4817 VIKING BLVD NE,East Bethel,55092-9558,0,Child Care Center,Active,MN,1115165
Bright Beginnings Childcare & Learning Center,11318 North Ave,Chisago City,55013,0,Child Care Center,Active,MN,1085255
Bridge to Knowledge Montessori,11337 Flintwood St,Coon Rapids,55448,0,Child Care Center,Active,MN,1055403
Bridge Academy of Early Learning,19805 HEADWATERS BLVD N,Forest Lake,55025-0000,0,Child Care Center,Active,MN,1116546
Bright Beginnings Christian Preschool,9350 Upland Ln N,Maple Grove,55369,0,Child Care Center,Active,MN,1018118
Bright Horizons Children's Centers LLC dba: Mayo Employees Back-Up CCC,3535 40th Ave Suite 100,Rochester,55901,0,Child Care Center,Active,MN,1058249
Bright Child Child Development Center Inc,110 6th Ave N,Princeton,55371,0,Child Care Center,Active,MN,1055759
Bright Beginnings Early Childcare Center LLC,9675 63RD AVE N,Maple Grove,55369-6253,0,Child Care Center,Active,MN,1102022
Bright Future Academy Corp,1541 5TH AVE S,SOUTH SAINT PAUL,55075-3453,0,Child Care Center,Active,MN,1098104
Bright Horizons Minneapolis Gaviidae,651 Nicollet Mall Suite 135,Minneapolis,55402,0,Child Care Center,Active,MN,1037618
Bright Horizons Minnetonka,"111 Cheshire Lane, Suite 900",Minnetonka,55305,0,Child Care Center,Active,MN,1037620
Bright Horizons Woodbury,8147 Globe Dr,Woodbury,55125,0,Child Care Center,Active,MN,1037619
Bright Minds Child Care Inc,950 E Hennepin Ave,Minneapolis,55414,0,Child Care Center,Active,MN,1080450
Bright Horizons Childrens Centers LLC dba Allianz Bright Beginnings,5901 Golden Hills Dr,Golden Valley,55416,0,Child Care Center,Active,MN,1059651
Bright Prospects Cooperative Preschool,2730 E 31ST ST,Minneapolis,55406-1923,0,Child Care Center,Active,MN,801996
Bright Star Daycare,4923 W Frontage Rd,Rochester,55901,0,Child Care Center,Active,MN,1075984
Bright Side Daycare LLC,3424 E LAKE ST,Minneapolis,55406-2150,0,Child Care Center,Active,MN,1111869
Bright Horizons Minneapolis at Tenth Street,34 10th St S,Minneapolis,55403,0,Child Care Center,Active,MN,1037617
Bright Start Child Care Center Inc,1197 UNIVERSITY AVE W STE 106,Saint Paul,55104-4124,0,Child Care Center,Active,MN,1064579
Bright Stars Learning Center Inc,7836 2nd Ave S,Bloomington,55420,0,Child Care Center,Active,MN,1065075
Broadmain Academy Inc,119 BROADWAY ST NE,Minneapolis,55413-1805,0,Child Care Center,Active,MN,1113280
Brookdale Christian Center Daycare,6030 Xerxes Ave N,Brooklyn Center,55430,0,Child Care Center,Active,MN,800252
Brookdale Learning Center Ltd.,7808 Yates Ave N,Brooklyn Park,55443-0000,0,Child Care Center,Active,MN,1097461
Bubbling Brook Child Care,6221 Rice Lake Road,Duluth,55803,0,Child Care Center,Active,MN,1053996
Building Blocks Christian Preschool,61 Mississippi Way NW,Fridley,55432,0,Child Care Center,Active,MN,802059
Building Blocks Childcare & Learning Center,469 12TH ST,Red Wing,55066-3433,0,Child Care Center,Active,MN,1099182
Building Blocks Learning Center & Child Care Inc,610 Summit Dr Ste 1,Fairmont,56031,0,Child Care Center,Active,MN,1081275
Building Blocks for Life Preschool,32962 VICKERS ST NE,Cambridge,55008-7832,0,Child Care Center,Active,MN,1101716
Building Blocks Learning Center,4402 Haines Rd Ste 1,Duluth,55811,0,Child Care Center,Active,MN,1074961
Butterfly Hill Nature Preschool Inc,2210 6TH AVE E,Alexandria,56308-2183,0,Child Care Center,Active,MN,1073055
Calvary Child Care Center,7520 Golden Valley Rd.,Golden Valley,55427,0,Child Care Center,Active,MN,800289
Calvary Lutheran Pre-kindergarten,7520 Golden Valley Rd,Golden Valley,55427-4506,0,Child Care Center,Active,MN,800387
Calvary Lutheran Preschool,605 DOUGLAS ST,Alexandria,56308-1732,0,Child Care Center,Active,MN,800290
Burnsville Learning Center Inc,12190 County Rd 11,Burnsville,55337,0,Child Care Center,Active,MN,1080554
Calvary Preschool and Early Learning Center,18360 MINNETONKA BLVD,Wayzata,55391-3232,0,Child Care Center,Active,MN,1110823
Canoga Park Childcare,1301 Canoga Park Dr,Marshall,56258,0,Child Care Center,Active,MN,1078627
Canoga Park Childcare South,305 S 2ND ST,Marshall,56258-2365,0,Child Care Center,Active,MN,1110117
Calvary Lutheran Preschool,2508 Washington Ave SE,Bemidji,56601-1893,0,Child Care Center,Active,MN,800291
Canoga Park Childcare West,702 E Southview Dr,Marshall,56258,0,Child Care Center,Active,MN,1083723
CAPE Child Care Center,2727 N Ferry St,Anoka,55303,0,Child Care Center,Active,MN,800278
Canby Head Start,Canby Elementary School 601 4th St W,Canby,56220,0,Child Care Center,Active,MN,800303
CAPS Care,511 W MAIN ST,Caledonia,55921-1869,0,Child Care Center,Active,MN,1113937
Care Corner,265 St Andrews Dr,Mankato,56001,0,Child Care Center,Active,MN,809413
Carol's Corner Child Care Center,3120 Labore Rd,Saint Paul,55109,0,Child Care Center,Active,MN,800320
Caring for Children,5835 Lyndale Ave S,Minneapolis,55419,0,Child Care Center,Active,MN,800314
CareOne Childcare Center,116 E 32ND ST,Minneapolis,55408-4403,0,Child Care Center,Active,MN,1106439
Carondelet Catholic School,2900 W 44TH ST,Minneapolis,55410-1551,0,Child Care Center,Active,MN,1105682
Casa de Corazon Inc,8351 Elm Creek Blvd,Maple Grove,55369,0,Child Care Center,Active,MN,1065654
Casa de Corazon Inc,5101 France Ave S,Minneapolis,55410,0,Child Care Center,Active,MN,1061327
Casa de Corazon Inc,3928 Nicollet Ave,Minneapolis,55409,0,Child Care Center,Active,MN,1056212
Cathedral Hill Montessori,329 Dayton Avenue,Saint Paul,55102,0,Child Care Center,Active,MN,1060544
Carol Matheys Center for Children & Families,6060 43rd St N,Oakdale,55128,0,Child Care Center,Active,MN,800319
Cedar Child Care Center Inc,3011 Cedar Ave S,Minneapolis,55407,0,Child Care Center,Active,MN,1081002
Casa de Corazon Rochester,970 34TH AVE NW,Rochester,55901-0000,0,Child Care Center,Active,MN,1115271
CCM Health Child Care Center,1020 N 13th St,Montevideo,56265-0000,0,Child Care Center,Active,MN,1101525
Cedar Gland Child Care Center Inc,1525 GLENWOOD AVE,Minneapolis,55405-1227,0,Child Care Center,Active,MN,1103854
CCRR Head Start Empowerment Center,930 40TH ST NW,Rochester,55901-4273,0,Child Care Center,Active,MN,1088659
"Cedar Kids, Inc",2429 N CEDAR AVE,Owatonna,55060-1244,0,Child Care Center,Active,MN,1094333
Cedar Riverside Child Care Center LLC,404 Cedar Ave S,Minneapolis,55454,0,Child Care Center,Active,MN,1065928
Cedar Mountain Cougar Cub Child Care Center,215 2ND AVE E,Franklin,55333-0000,0,Child Care Center,Active,MN,1100086
Celebration Academy,16655 KENYON AVE,Lakeville,55044-8934,0,Child Care Center,Active,MN,1108080
Centaur Beginnings,5910 SHINGLE CREEK PKWY STE 1A,Brooklyn Center,55430-2323,0,Child Care Center,Active,MN,1060749
Celebrate Preschool Celebration Lutheran Church,1500 PINE CONE RD,Sartell,56377-2187,0,Child Care Center,Active,MN,1060410
Cedar Head Start Center,ISD 15 Lifelong Learning Center 18900 Cedar Dr Room 103,Oak Grove,55011,0,Child Care Center,Active,MN,800192
Central Lutheran Church Child Care Center,259 W Wabasha St,Winona,55987,0,Child Care Center,Active,MN,1012883
Centralowry Academy Inc.,2332 CENTRAL AVE NE,Minneapolis,55418-3710,0,Child Care Center,Active,MN,1113282
Chicago Child Care Center Inc.,1910 CHICAGO AVE,Minneapolis,55404-1903,0,Child Care Center,Active,MN,1099629
Center of Excellence,810 S 7TH ST,Minneapolis,55415-1702,0,Child Care Center,Active,MN,1084787
Chester Creek Montessori,1602 E 2ND ST,Duluth,55812-1656,0,Child Care Center,Active,MN,1106491
Chaska Head Start,303 E 6th St,Chaska,55318,0,Child Care Center,Active,MN,830823
Child Development and Learning Center,13801 Fairview Dr,Burnsville,55337,0,Child Care Center,Active,MN,800376
Child Care Resource & Referral - Jeremiah,2915 JEREMIAH LN NW,Rochester,55901-0000,0,Child Care Center,Active,MN,1104279
Child Garden Total Environment Montessori School,1601 LAUREL AVE,Minneapolis,55403-1205,0,Child Care Center,Active,MN,800379
Child Care Resource & Referral Head Start,1026 E Center St,Rochester,55904,0,Child Care Center,Active,MN,804236
"Child's Play of St Cloud of MN, INC",1401 West St Germain St,Saint Cloud,56301,0,Child Care Center,Active,MN,1095744
Children First Christian Preschool,2100 Riverview Dr,Little Falls,56345,0,Child Care Center,Active,MN,1007151
Children of Joy Preschool,825 Golf Ave SW,Pine City,55063,0,Child Care Center,Active,MN,1088719
Child Care Resource and Referral Head Start,211 W Richway Dr Brookside Education Center,Albert Lea,56007,0,Child Care Center,Active,MN,800371
Children of Grace Childcare Education Center,4010 9th Ave W,Hibbing,55746-0000,0,Child Care Center,Active,MN,1025811
Children of Hope Preschool,5730 179th Ln,Ramsey,55303,0,Child Care Center,Active,MN,830355
Children of Tomorrow,1490 LAKE DR W,Chanhassen,55317-8518,0,Child Care Center,Active,MN,1021418
Children of Tomorrow Learning Centers Carver,4745 Dahlgren Rd,Carver,55315,0,Child Care Center,Active,MN,1088343
Children of Tomorrow NYA,316 W Hwy 212,Norwood Young America,55368,0,Child Care Center,Active,MN,1083642
Children's Center (The),605 James Ave,Albert Lea,56007,0,Child Care Center,Active,MN,800056
"Children of Tomorrow Learning Center, Waconia Inc",410 10TH ST E,Waconia,55387-4552,0,Child Care Center,Active,MN,1046049
Children's Ark Hourly Child Care Program (The),7520 Golden Vly Rd,Golden Valley,55427,0,Child Care Center,Active,MN,804287
Children Village Montessori Day Care Center Inc.,2515 E 26TH ST,Minneapolis,55406-1238,0,Child Care Center,Active,MN,800425
Children's Center (The),801 Luther Place,Albert Lea,56007,0,Child Care Center,Active,MN,803874
Children's Corner Early Learning Center,3821 Abbott Dr Rm 201 & 201A,Willmar,56201,0,Child Care Center,Active,MN,800396
Children's Center Montessori School (The),1536 Minnehaha Ave W,Saint Paul,55104-1208,0,Child Care Center,Active,MN,802483
Children's Country Preschool,11024 CHURCH ST NE,Hanover,55341-4035,0,Child Care Center,Active,MN,800398
Children's Country Day School,1588 S Victoria Rd,Mendota Heights,55118-3658,0,Child Care Center,Active,MN,800397
Children's Day Montessori,3124 Southway Dr,Saint Cloud,56301,0,Child Care Center,Active,MN,800399
Children's Corner Learning Center,2300 COLLEGE WAY P.O. BOX 696,Fergus Falls,56537-1062,0,Child Care Center,Active,MN,800394
Children's Discovery Academy of Early Learning,3665 Talmage Circle,Vadnais Heights,55110,0,Child Care Center,Active,MN,1014894
Children's Discovery Academy of Early Learning,433 E Little Canada Rd,Little Canada,55117,0,Child Care Center,Active,MN,1014899
Children's Kingdom Preschool,911 S Prairie Ave,Fairmont,56031,0,Child Care Center,Active,MN,800419
Children's Way Preschool,3382 North Lexington Ave,Shoreview,55126,0,Child Care Center,Active,MN,1005240
Children's Farm School,13241 30th St N,Stillwater,55082,0,Child Care Center,Active,MN,800403
Children's Workshop,2190 W WAYZATA BLVD,Long Lake,55356-9587,0,Child Care Center,Active,MN,810864
Children's School (The),3121 GROVELAND SCHOOL RD,Wayzata,55391-2817,0,Child Care Center,Active,MN,1095453
Childrens Place (The),3703 Fairway Place NW,Rochester,55901,0,Child Care Center,Active,MN,802485
Childrens Corner,322 6th Ave SW,Perham,56573,0,Child Care Center,Active,MN,1057341
Children's House,"150 Wiecking Center MN State University, Mankato",Mankato,56001-6061,0,Child Care Center,Active,MN,809321
Christ Lutheran Little Lambs Preschool,"13815 Cherrywood Drive,",Baxter,56425,0,Child Care Center,Active,MN,1092943
Chisholm Head Start,Vaughan Steffensrud School 1000 1st Ave NE,Chisholm,55719,0,Child Care Center,Active,MN,804270
Christ Church Preschool,15849 NE 90th St,Otsego,55330,0,Child Care Center,Active,MN,806293
Christ Memorial Tender Learning Center,13501 Sunset Trl,Plymouth,55441,0,Child Care Center,Active,MN,802475
Christ Victorious Preschool,9860 Shady Oak Drive,Chaska,55318,0,Child Care Center,Active,MN,1021919
Christ Lutheran Preschool,2475 17TH AVE E,North St Paul,55109-1848,0,Child Care Center,Active,MN,1107825
Christinas Child Care Center Inc,5510 W Broadway Ave,Crystal,55428,0,Child Care Center,Active,MN,1059534
Christian Day Child Academy,Attn:  Debra Karban 16075 Hawthorn Path,Lakeville,55044,0,Child Care Center,Active,MN,1001317
